sentence,mdd,t_depth,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords
"בחופשת הקיץ, עידן החליט לעבוד.",3.5,6,0,4,5,24,4.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
החברים שלו נסעו לים והלכו לבלות אבל הוא רצה לעבוד.,7.46,14,0,9,10,40,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2,4,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3
עידן רצה לעבוד בטלוויזיה.,3.4,6,0,3,4,21,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
הוא מאוד אוהב את תחום הטלוויזיה.,4.17,7,0,5,6,26,4.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,2
עכשיו צהריים.,2.0,2,0,1,2,11,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
עידן יושב בחדר הקטן בבניין הטלוויזיה.,5.0,11,0,5,6,31,5.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"עידן עובד בתכנית שמשודרת כל יום לבני נוער וקוראים לה: 
""אז מה דעתךָ?"".",9.12,19,0,12,13,51,3.923,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,4,2,2,4,2,2,0,2,0,0,2,2,0,2,2,0,0,2
התפקיד של עידן זה לחפש כתבות מעניינות על בני נוער בעיתון.,6.58,14,0,10,11,46,4.182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,4,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,3
הוא צריך להזמין את בני הנוער מהכתבות להתראיין בתכנית הטלוויזיה.,6.54,15,0,9,10,53,5.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,6,0,0,0,4,0,0,0,2,0,0,2,0,0,0,2,2
עידן עבר על כל העיתונים ולא מצא כתבה מעניינת להביא לתכנית.,7.54,15,0,10,11,47,4.273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,4,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2
